	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
CLSPN	NA	NA	1.36	NA	NA	2.015	NA	NA	1.585
CLK4	2.013	0.762	2.171	2.075	0.784	1.755	1.959	0.42	2.628
B2L12	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNKD	NA	0.947	NA	NA	1.131	NA	NA	NA	NA
PKHA2	NA	1.084	0.704	NA	NA	0.738	NA	NA	NA
PKHA1	NA	NA	NA	NA	NA	1.08	0.851	NA	NA
RISC	1.275	NA	NA	NA	NA	NA	NA	NA	NA
CYBP	1.189	0.989	NA	0.972	1.096	NA	0.882	0.785	NA
RRAGC	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCE	NA	NA	0.971	1.121	NA	1.191	NA	0.731	1.184
RC3H2	NA	0.829	NA	0.98	NA	NA	0.934	NA	NA
ZFYV1	1.231	NA	1.026	0.96	NA	1.389	0.995	NA	1.403
IF122	NA	NA	NA	NA	NA	1.163	NA	NA	0.885
RDH14	0.891	1.046	0.909	NA	1.09	1.253	0.999	NA	NA
PARVB	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP29	NA	NA	NA	NA	NA	NA	NA	NA	1.123
TENS1	NA	0.927	NA	NA	1.074	0.968	0.823	0.898	1.179
VEZA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPC25	NA	NA	1.027	NA	NA	1.038	NA	NA	1.291
S38AA	1.207	1.051	NA	1.037	NA	NA	0.943	NA	NA
TM165	1.272	NA	1.259	1.148	NA	NA	1.024	NA	NA
EMAL4	NA	1.006	1.018	1.013	1.145	1.162	0.854	0.906	1.164
GLOD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBX8	NA	NA	0.754	NA	NA	1.025	NA	NA	0.824
PCDH9	NA	0.966	NA	NA	NA	NA	NA	NA	NA
MCCB	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCOA5	1.132	1.097	0.889	0.928	NA	1.129	0.898	0.887	1.179
TANC2	7.909	NA	0.994	NA	NA	7.117	NA	NA	1.476
EPG5	NA	NA	NA	NA	NA	1.076	NA	NA	1.218
MOV10	NA	NA	NA	NA	NA	1.16	NA	NA	0.942
MET14	NA	0.91	NA	NA	1.066	1.058	NA	0.895	NA
CWC22	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCK5L	0.795	NA	1.296	NA	NA	1.524	NA	NA	1.559
TNR6C	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD8	NA	NA	NA	NA	NA	1.462	NA	NA	1.339
PCD18	NA	NA	0.443	NA	NA	1.129	NA	NA	2.628
K1549	NA	NA	NA	NA	NA	NA	NA	NA	NA
E41L5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRI39	NA	0.956	NA	NA	0.532	1.093	0.604	0.804	1.041
GPN1	NA	0.962	NA	NA	1.087	0.791	NA	0.867	NA
SDF2L	NA	NA	0.979	1.01	NA	NA	0.941	NA	NA
SYF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD248	1.163	0.871	NA	0.952	1.019	NA	0.855	0.845	NA
PREB	1.402	1.123	1.362	0.961	1.407	1.502	0.978	1.017	1.489
AT131	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOPC	NA	NA	NA	0.854	NA	NA	0.843	NA	NA
RM47	NA	0.964	NA	NA	NA	NA	NA	0.882	NA
CHM1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM9S3	1.282	0.915	NA	0.913	NA	NA	0.956	0.764	NA
MYO10	NA	NA	NA	NA	NA	NA	NA	NA	NA
APMAP	NA	NA	2.478	0.922	NA	2.419	0.743	NA	1.539
WDR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE7B	1.085	0.95	1.139	0.954	1.26	1.324	0.902	0.856	1.228
ARFG3	NA	NA	NA	1.129	NA	NA	NA	NA	NA
HM20A	1.305	NA	NA	1.256	NA	1.935	1.083	NA	2.401
RAB18	NA	0.976	NA	NA	1.041	NA	NA	0.888	NA
SSU72	1.188	0.967	0.883	1.114	NA	NA	1.029	NA	1.04
VTA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYSM	NA	NA	NA	NA	NA	1.55	NA	NA	1.891
TNR12	NA	1.006	NA	NA	1.026	NA	NA	0.959	NA
RAB9B	NA	0.961	NA	NA	1.049	1.039	NA	0.809	NA
DLRB1	1.179	0.97	1.188	0.965	1.251	1.023	0.906	0.909	1.124
EMC7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENY2	NA	0.998	0.999	0.945	1.01	1.238	NA	0.929	NA
EXOS4	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2T	NA	NA	1.343	NA	0.937	1.807	NA	0.947	NA
OSGEP	NA	0.922	NA	NA	1.035	NA	NA	0.836	1.09
DMAP1	NA	0.984	NA	NA	NA	NA	NA	NA	NA
DCP1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACO13	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIDC1	1.019	NA	1.095	0.972	NA	1.259	NA	NA	1.507
RIC8A	1.098	NA	NA	NA	NA	NA	NA	NA	NA
LUC7L	NA	NA	NA	NA	NA	NA	NA	NA	NA
LZTL1	1.066	NA	NA	0.906	NA	NA	NA	NA	NA
RM40	NA	2.941	NA	NA	1.108	NA	NA	NA	NA
SSF1	NA	NA	NA	NA	NA	1.233	NA	NA	NA
PLCB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIGAR	1.127	0.946	0.979	0.983	0.952	1.327	0.785	0.872	1.39
COPRS	NA	NA	0.953	NA	NA	1.1	1.121	NA	NA
RTN4	NA	NA	NA	NA	NA	1.332	NA	NA	1.323
CYLD	NA	NA	NA	NA	NA	NA	NA	NA	NA
HINT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MANBL	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPR1B	NA	0.935	1.007	0.777	1.063	1.114	0.753	0.844	1.285
MID51	0.664	NA	1.096	NA	NA	1.428	NA	NA	NA
HPS4	5.222	NA	0.736	NA	NA	NA	0.789	NA	NA
PFD4	NA	NA	NA	NA	NA	1.101	NA	NA	NA
S35C2	NA	NA	NA	NA	NA	2.503	NA	NA	2.784
KMT5A	1.151	1.07	1.016	0.956	1.169	1.032	0.124	NA	NA
NIT2	NA	NA	NA	NA	NA	NA	NA	NA	1.256
AVEN	NA	NA	NA	NA	NA	NA	NA	NA	NA
NECT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
INCE	1.187	1.079	NA	1.102	1.081	NA	0.933	NA	NA
EXOS5	NA	NA	1.088	NA	NA	1.129	0.583	NA	0.95
EXOS3	NA	NA	NA	NA	NA	NA	0.872	0.885	NA
KI13B	1.244	NA	NA	0.933	NA	1.429	0.895	NA	NA
ANLN	NA	NA	0.906	NA	NA	1.185	NA	NA	1.072
XPP1	NA	NA	0.927	0.918	NA	NA	0.831	NA	NA
GEPH	NA	1.033	NA	NA	NA	NA	NA	0.895	NA
SAS10	NA	NA	NA	NA	NA	1.194	NA	NA	NA
BIRC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDLI7	NA	NA	NA	NA	NA	NA	NA	NA	1.174
ACSA	NA	NA	NA	NA	1.003	NA	NA	NA	NA
DYRK4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX21	NA	0.979	NA	0.78	1.152	NA	0.954	0.858	1.471
SAR1A	1.343	0.836	NA	0.98	1.095	NA	0.905	0.835	1.815
SIAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHLB2	NA	0.878	NA	NA	NA	1.119	NA	NA	NA
EI2BG	NA	NA	NA	NA	NA	NA	NA	NA	NA
MBNL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNQ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MXRA5	1.073	0.784	NA	1.078	1.093	NA	0.861	NA	NA
S17A5	NA	NA	0.858	NA	NA	NA	NA	NA	NA
4ET	0.948	0.94	0.789	0.906	1.228	0.85	0.748	0.858	NA
ST7	1.183	0.924	1.105	0.843	1.082	NA	0.816	0.929	1.177
DUOX2	NA	0.91	NA	NA	0.696	NA	0.877	0.839	NA
PYRG2	0.594	NA	0.926	1.113	NA	0.773	NA	NA	0.895
DPOE3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHRC1	NA	1.017	1.098	NA	NA	1.417	0.633	NA	1.229
PRDC1	NA	0.999	NA	1.314	NA	NA	0.984	NA	NA
AAAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAZ1A	NA	NA	NA	NA	NA	1.409	NA	NA	1.404
STRN4	NA	NA	0.917	NA	NA	1.116	1.126	NA	NA
LATS2	NA	NA	NA	NA	NA	NA	NA	0.215	NA
ADPPT	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSTC	NA	0.933	NA	0.883	NA	NA	NA	NA	NA
PLS4	NA	NA	NA	NA	NA	NA	NA	NA	NA
C42S1	NA	0.599	0.952	NA	NA	1.06	NA	0.792	1.05
SNX15	NA	NA	NA	NA	NA	1.552	NA	NA	NA
HEBP1	1.134	0.947	0.982	0.963	1.081	1.139	0.88	0.869	1.125
VPS45	1.786	0.949	NA	1.482	1.522	NA	1.876	0.882	1.433
PNO1	0.872	NA	NA	1.005	1.095	NA	0.852	NA	NA
RM17	NA	0.964	NA	NA	1.122	1.102	0.905	0.865	0.921
SERC1	NA	NA	NA	NA	NA	NA	NA	0.894	NA
KISHB	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHG35	1.121	0.967	NA	0.928	0.99	NA	0.848	0.844	NA
F1142	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLS3	NA	NA	NA	0.955	1.114	NA	0.878	0.93	NA
PLCD	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCC	NA	NA	NA	NA	NA	NA	NA	NA	NA
HELLS	NA	1.057	NA	1.035	NA	NA	1.077	NA	NA
C1GLT	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOPRS	NA	0.127	NA	NA	NA	NA	NA	NA	NA
THSD1	1.308	0.782	NA	1.106	NA	NA	NA	0.898	NA
TNR19	1.333	NA	1.059	NA	NA	1.351	NA	NA	1.382
TOM22	NA	NA	NA	NA	NA	1.386	NA	NA	NA
LANC2	NA	NA	NA	NA	NA	NA	NA	0.28	NA
RAD18	NA	NA	NA	NA	NA	NA	NA	NA	1.024
HOME3	NA	NA	NA	NA	NA	NA	NA	0.775	NA
SYFB	NA	NA	NA	NA	NA	NA	NA	NA	1.242
SYIM	1.329	1.016	1.351	1.029	1.308	1.671	0.902	0.93	1.54
F207A	NA	0.702	NA	NA	1.021	NA	NA	0.934	NA
BRWD1	1.088	NA	NA	0.934	1.156	NA	0.974	0.978	NA
KLC4	NA	NA	1.064	NA	NA	1.125	NA	NA	1.279
CENPM	1.062	NA	0.962	0.992	NA	1.073	0.876	NA	1.057
DIAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K	NA	0.96	NA	NA	1.023	1.118	0.817	0.854	1.26
ATG3	NA	0.941	NA	NA	0.829	1.065	NA	0.968	NA
AT8A2	NA	NA	1.773	NA	NA	NA	NA	NA	NA
PDS5B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMC4	NA	NA	NA	NA	NA	NA	NA	NA	1.344
MA2C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAC1	1.115	0.946	1.044	0.932	1.066	1.206	0.875	0.85	1.169
OLA1	1.109	1.021	NA	0.951	1.141	NA	0.877	0.915	NA
ECHD1	NA	NA	0.778	0.928	NA	0.873	0.801	NA	0.974
RBM12	NA	0.878	NA	NA	1.086	1.074	NA	0.869	1.221
MDN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBT40	NA	0.999	0.914	1.066	NA	1.064	1.03	NA	NA
ZDH18	1.197	1.01	1.107	1.07	1.164	1.349	0.91	0.886	1.318
DECR2	NA	NA	NA	NA	NA	1.194	NA	NA	NA
ABHDA	NA	NA	1.1	NA	NA	NA	NA	NA	NA
T11L1	NA	NA	NA	NA	NA	NA	0.979	NA	NA
STAU2	NA	0.96	NA	NA	1.045	NA	NA	0.9	NA
T106B	NA	NA	NA	NA	0.949	NA	NA	0.79	NA
LMBD1	1.259	1.094	1.087	0.917	1.21	1.311	0.928	0.999	1.225
TXLNG	1.043	NA	NA	0.877	NA	NA	NA	NA	NA
SPS2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCF3	1.098	NA	1.181	1.092	NA	1.342	1.144	NA	1.251
CYRIB	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP5S1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTULL	NA	1.162	NA	0.587	1.294	NA	0.944	NA	NA
TYDP1	1.316	NA	NA	0.964	NA	NA	NA	NA	NA
TBC23	NA	NA	NA	1.051	NA	NA	NA	NA	NA
DCA13	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRGBP	NA	NA	NA	NA	1.094	NA	NA	0.754	NA
EXOC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CC50A	NA	NA	0.963	0.927	NA	NA	0.855	NA	1.202
UQCC1	1.258	NA	NA	NA	NA	NA	NA	NA	NA
SEP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
T184C	NA	NA	1.046	NA	NA	1.187	NA	NA	NA
S38A7	NA	0.927	0.97	0.892	NA	1.202	0.906	NA	NA
PARVA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBC13	1.113	0.914	0.939	0.915	1.099	1.11	0.845	0.852	1.097
EXD2	NA	NA	NA	0.842	1.045	NA	NA	0.719	NA
DJC11	NA	NA	NA	NA	NA	NA	NA	NA	NA
INT7	NA	NA	NA	0.925	NA	NA	25.024	NA	1.08
FANCI	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATD3A	NA	NA	1.666	NA	NA	2.008	NA	NA	2.035
ARL8B	NA	NA	NA	0.798	NA	NA	NA	NA	NA
EVA1B	1.133	NA	0.997	0.969	NA	1.099	0.867	NA	1.12
DJC17	NA	0.915	NA	0.641	1.063	NA	NA	0.659	NA
INT13	NA	NA	1.035	NA	NA	1.526	NA	NA	NA
DDX18	1.104	NA	NA	NA	NA	NA	NA	NA	NA
INT10	NA	0.953	1.156	NA	1.221	1.346	NA	0.809	NA
RT18A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNPO	NA	1	NA	1.031	0.996	NA	NA	0.791	NA
ARMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPC5	NA	NA	NA	NA	NA	1.328	NA	NA	NA
SDA1	NA	0.912	NA	NA	0.946	NA	0.684	0.917	1.198
TM38B	1.197	0.962	NA	0.946	NA	NA	0.978	NA	NA
PAPD1	NA	0.995	NA	NA	1.064	NA	NA	0.836	NA
NLE1	NA	NA	NA	NA	NA	1.159	NA	NA	1.07
NECP2	NA	NA	0.968	NA	0.992	1.035	NA	0.831	1.089
RBM28	1.141	1.136	1.032	1.036	NA	1.131	0.874	NA	1.155
ANO10	NA	NA	NA	0.909	NA	NA	NA	NA	1.435
RBM22	NA	NA	NA	NA	NA	NA	NA	NA	0.701
GPTC2	NA	NA	NA	NA	NA	NA	NA	0.825	NA
WDR70	NA	NA	0.864	NA	NA	NA	NA	NA	NA
TMM51	NA	NA	NA	NA	NA	1.259	NA	NA	NA
ARGL1	1.102	NA	NA	NA	NA	NA	0.938	NA	NA
TM45A	NA	NA	NA	NA	NA	1.329	NA	NA	1.288
SLTM	1.246	NA	0.927	0.949	NA	1.218	0.82	NA	1.188
SMOX	1.242	1.12	NA	1.071	NA	1.701	NA	NA	1.418
FKB14	1.081	0.866	1.046	NA	NA	1.159	0.822	NA	1.124
GPT2L	1.009	NA	0.897	0.896	0.864	0.996	0.947	0.929	0.91
PHAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIHD1	6.015	NA	6.574	4.255	NA	7.711	7.774	NA	0.916
HIF1N	1.168	NA	1.449	0.822	1.254	1.384	0.867	0.939	1.457
GID8	NA	NA	NA	NA	NA	NA	NA	NA	NA
RM22	NA	NA	0.847	1.063	NA	0.967	0.907	NA	1.758
CZIB	NA	NA	NA	NA	NA	NA	NA	NA	NA
BABA1	NA	NA	NA	NA	1.135	NA	NA	0.903	NA
CLN6	1.136	1.384	NA	0.944	NA	NA	0.665	NA	NA
THG1	1.388	1.112	1.086	0.943	1.267	1.3	1.742	0.767	1.317
UCKL1	NA	1.01	1.009	0.881	1.096	NA	0.979	0.914	NA
COMD8	NA	0.952	0.974	0.924	1.105	1.1	0.867	0.853	NA
NDUBB	NA	NA	NA	NA	NA	NA	0.867	NA	NA
RM16	NA	NA	NA	NA	NA	1.031	NA	NA	NA
NHP2	NA	NA	1.407	NA	NA	NA	NA	NA	1.506
OCAD1	NA	NA	NA	NA	NA	1.096	NA	NA	NA
ADPRS	1.003	0.918	1.275	0.889	1.064	1.147	NA	0.896	1.027
MARH5	1.172	NA	0.95	NA	NA	1.256	NA	NA	NA
HYPK	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYAR	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMPA3	NA	NA	NA	NA	NA	NA	0.639	NA	1.153
MIC19	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED29	NA	NA	NA	NA	NA	NA	NA	NA	NA
WBP1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIO	NA	0.921	0.986	NA	1.076	NA	0.799	0.692	NA
NSMA3	NA	NA	NA	NA	NA	0.953	NA	NA	NA
CWC25	1.194	1.035	0.929	1.069	1.135	1.102	1.032	0.697	1.051
TEX10	NA	NA	NA	NA	NA	NA	NA	NA	NA
THUM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOR4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRM1	1.126	NA	NA	NA	NA	1.336	NA	NA	NA
PGPI	1.353	0.71	1.386	1.181	0.929	1.531	1.047	1.408	NA
GDAP2	NA	NA	NA	NA	1.091	1.215	NA	0.855	NA
NDE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
QPCTL	NA	NA	NA	NA	1.112	NA	NA	0.842	NA
KCTD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
DJB12	NA	0.909	NA	NA	NA	NA	NA	0.861	NA
DDX43	NA	0.942	NA	NA	NA	NA	NA	NA	NA
GAR1	NA	NA	NA	NA	NA	1.369	6.726	NA	NA
S39A1	NA	NA	NA	1.076	NA	NA	NA	NA	NA
PP4R2	1.053	0.946	1.156	0.968	1.111	1.385	0.719	0.886	1.001
GALT8	NA	NA	NA	NA	NA	1.136	NA	NA	1.116
DPP3	NA	NA	NA	NA	0.97	NA	NA	0.823	NA
AATF	1.263	0.947	NA	1.08	1.089	1.04	0.95	0.911	0.894
TBA8	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE2IP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FA53C	NA	1.018	1.072	NA	NA	1.169	NA	NA	NA
FA13B	NA	NA	NA	0.979	1.223	NA	NA	0.876	NA
BCLF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UTP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSD3	NA	NA	1.242	NA	NA	1.129	NA	NA	NA
COA4	NA	NA	NA	NA	1.262	NA	NA	NA	NA
TAB2	NA	NA	NA	0.967	NA	NA	NA	NA	NA
RM39	NA	NA	NA	NA	NA	NA	NA	NA	NA
M3K20	NA	NA	NA	NA	NA	NA	11.474	NA	NA
FKB11	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMOD3	1.232	0.9	1.091	0.944	1.033	1.081	0.884	0.907	1.206
DONS	NA	1.186	NA	0.942	NA	NA	0.975	NA	NA
HAOX2	NA	0.996	NA	NA	NA	NA	NA	NA	1.047
UGGG2	NA	1.026	NA	1.022	NA	1.156	0.606	NA	NA
UGGG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK12	NA	0.917	NA	NA	NA	NA	NA	NA	NA
RRN3	NA	NA	NA	NA	NA	NA	NA	0.772	NA
FAKD2	NA	1.05	0.952	NA	NA	1.024	NA	NA	NA
GTSE1	NA	NA	NA	NA	0.748	NA	NA	NA	NA
TECR	NA	NA	NA	NA	NA	1.253	NA	NA	1.263
ERAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARP10	NA	0.709	NA	NA	NA	NA	NA	NA	NA
USE1	1.315	1.086	0.589	1.156	1.144	0.58	0.925	0.858	0.604
CISD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGA3	1.778	0.916	1.255	0.959	NA	1.119	1.696	NA	1.882
FMN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLS1	0.946	0.944	1.015	NA	1.335	1.239	NA	0.973	1.057
STMN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
F120A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMAL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPG21	0.987	NA	0.797	NA	NA	NA	NA	NA	1.027
PTTG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
IF2B1	1.274	0.976	1.212	1.073	1.13	1.394	0.586	0.86	1.411
SACS	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTCH1	NA	1.16	NA	NA	1.28	NA	NA	NA	NA
NUDT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPBP1	NA	0.934	NA	NA	1.28	NA	NA	NA	NA
MAT2B	NA	NA	NA	NA	0.533	NA	NA	NA	NA
MYOF	NA	0.988	NA	NA	1.097	NA	NA	NA	NA
ITSN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOP53	NA	NA	0.815	NA	NA	0.995	NA	NA	0.768
EHD3	NA	NA	NA	1.092	NA	NA	NA	NA	NA
EHD2	1.042	0.962	0.966	0.948	1.071	1.115	0.858	0.86	1.054
ARHGC	NA	NA	NA	NA	1.144	NA	NA	NA	NA
CNOT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPN90	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMOD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRP1B	NA	NA	NA	NA	1.213	NA	NA	0.78	NA
OGFR	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMCD1	NA	NA	NA	NA	NA	15.948	NA	NA	16.828
CRIM1	1.287	1.066	NA	NA	NA	NA	NA	NA	NA
SELN	NA	0.932	1.075	NA	1.207	1.208	NA	NA	NA
MPP6	NA	0.938	0.914	NA	1.075	1.083	0.789	0.811	1.008
CHMP5	NA	NA	NA	NA	NA	1.414	NA	NA	NA
CNIH4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CWC15	NA	0.965	0.891	1.066	1.151	1.145	0.88	0.826	1.074
RM15	NA	NA	NA	NA	NA	NA	NA	NA	NA
THYN1	1.597	0.838	NA	1.871	1.213	NA	1.025	0.794	NA
HACD3	NA	NA	NA	0.853	1.023	NA	0.593	NA	NA
CC167	NA	NA	NA	1.029	NA	NA	NA	NA	NA
EMC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUAD	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCMF1	NA	0.85	0.924	0.845	NA	1.212	0.857	NA	NA
RAI14	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VAPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H2AW	NA	0.953	NA	NA	NA	NA	0.019	NA	NA
RN181	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRES1	NA	0.771	NA	NA	NA	NA	NA	NA	NA
GSKIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM9	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOM7	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3B4	NA	1.011	NA	NA	NA	1.483	NA	NA	1.606
SEP10	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPAT7	NA	NA	NA	NA	NA	0.922	NA	NA	NA
NTRI	NA	NA	1.197	NA	NA	0.817	NA	NA	0.991
ABRAL	1.102	NA	NA	NA	NA	NA	NA	NA	1.068
MDFIC	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHRF1	NA	NA	0.93	2.218	NA	1.008	0.809	NA	NA
CACO1	NA	NA	NA	12.636	NA	1.995	NA	NA	4.476
K1522	NA	NA	0.941	NA	NA	1.101	NA	NA	NA
RHG23	NA	1.059	NA	NA	1.099	NA	NA	NA	NA
STIM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS18	0.598	NA	1.045	3.106	NA	1.138	0.754	NA	1.169
RCC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RELCH	NA	1.161	NA	NA	1.115	1.384	NA	NA	1.236
DIP2B	NA	NA	NA	66.434	NA	NA	NA	NA	1.102
JCAD	1.123	0.917	1.165	0.872	1.462	1.262	0.867	NA	0.991
SLAI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCCIP	NA	NA	NA	NA	1.062	NA	NA	0.891	1.09
STK26	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARMX1	NA	0.942	NA	NA	NA	NA	NA	NA	NA
COPZ2	NA	0.911	NA	NA	1.093	NA	NA	0.924	NA
CT2NL	NA	1.317	NA	NA	NA	NA	NA	NA	NA
CFA97	NA	NA	NA	NA	NA	NA	0.906	NA	NA
IBTK	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYH1	1.064	NA	1.014	1.016	NA	1.129	NA	NA	1.18
ZNFX1	NA	NA	NA	0.016	NA	NA	NA	NA	NA
CHPF2	NA	NA	NA	NA	NA	1.263	NA	NA	1.229
RRBP1	1.215	NA	NA	0.996	NA	NA	0.858	NA	1.211
AKIB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPSF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYLC	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYEF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2AK4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CING	NA	1.066	NA	1.037	NA	NA	NA	NA	NA
RBM27	1.32	NA	0.957	0.82	NA	1.152	NA	0.856	1.093
HECW2	NA	NA	NA	1.104	NA	1.227	NA	NA	NA
FRM4A	1.042	0.913	1.071	0.912	1.174	1.172	0.861	0.85	1.136
ANFY1	1.592	NA	1.091	1.085	1.279	1.271	0.99	1.063	1.232
RERE	1.111	0.907	NA	0.898	1.12	1.109	0.834	0.843	NA
SUCB1	NA	NA	NA	1.11	NA	1.23	1.106	0.861	NA
GMPR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX18	1.354	NA	NA	NA	NA	NA	NA	NA	NA
DPM3	NA	NA	NA	NA	NA	NA	NA	NA	1.642
IMPCT	1.1	0.896	0.891	0.972	1.096	0.994	NA	0.827	1.087
ATX10	1.14	NA	NA	0.939	1.15	NA	0.839	0.84	1.501
MBD2	NA	0.969	NA	NA	NA	NA	0.954	NA	NA
NCDN	1.068	0.905	0.983	0.854	1.046	NA	0.766	0.827	0.981
TFP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
EP15R	1.144	0.962	NA	0.957	1.387	NA	1.106	0.979	NA
SAE1	NA	NA	NA	NA	NA	NA	NA	NA	1.837
COPG2	NA	NA	NA	NA	NA	1.09	NA	NA	1.263
PI4KB	1.351	0.956	1.683	3.839	1.114	1.638	1.19	0.976	1.693
