"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"PDCD6" -0.349333333333333 0.869 -3.04318544193299 0.155152525486413 1 -4.14073817348899
"CLPP" -0.346533333333333 0.917341666666667 -3.01879349755109 0.156629029263504 1 -4.14388555279393
"ANX11" 0.343466666666667 0.965008333333333 2.99207851084709 0.15827384644378 1 -4.14739633541789
"FKB15" 0.368683333333334 0.85248125 2.14810895628917 0.148476514849645 1 -4.1509406279118
"LGAT1" -0.3403 0.905752777777778 -2.96449238327232 0.16000342268854 1 -4.15109301797644
"PKN1" 7.35621666666666 6.69298944444444 1.99739297420747 0.131591494847793 1 -4.15459677640486
"PNO1" 0.205666666666667 0.951132936507936 2.20020915979442 0.142551025339889 1 -4.15541481605356
"RBM14" 0.335466666666666 0.969366666666666 2.92238724118451 0.162706107235847 1 -4.15687912272912
"VAT1" -0.101783333333333 0.997655725623583 -1.90675682444412 0.111696768930684 1 -4.15813370099252
"TMUB1" 0.33 0.875769841269841 2.87476487358174 0.165857785478777 1 -4.16363994209771
"PSF1" -0.328533333333333 0.812341666666667 -2.86198814081026 0.166721042858777 1 -4.1654940846767
"RHG29" 0.328466666666666 1.16900833333333 2.86140738022974 0.166760463032773 1 -4.16557877572302
"LNP" -0.18755 0.985672916666667 -2.1133938082499 0.152603674856297 1 -4.16760490479105
"TPPC4" -0.325 0.6555 -2.83120783004262 0.168832325655059 1 -4.17003267755768
"EIF3A" 0.0923777777777778 0.994506305114638 1.90804628359626 0.0963815751467193 1 -4.17153551580687
"NTRI" -0.323533333333333 0.952341666666667 -2.81843109727115 0.16972206723222 1 -4.17194690677173
"ZN521" 0.21395 1.0317496031746 1.91034832004433 0.111170436067988 1 -4.1752154373706
"NED4L" -0.160216666666667 1.12475625 -2.09762070318821 0.154528099883826 1 -4.17526963465841
"F207A" 0.32 0.910103174603175 2.78765078650351 0.171898490369429 1 -4.17663298399738
"IGBP1" -0.316533333333333 1.02534166666667 -2.75745123631638 0.174080196194659 1 -4.18133519315193
"FSP1" 0.315466666666667 1.278675 2.74815906702804 0.17476093612627 1 -4.18280328145987
"IPKG" -0.313533333333333 0.931008333333333 -2.73131701019291 0.176006314552008 1 -4.18549009835443
"ZNT1" 0.18545 1.18117291666667 2.07462247799187 0.157390762231955 1 -4.186549946789
"COX17" -0.102288888888889 0.997395194003527 -1.88626862328317 0.0995641525455578 1 -4.19663354430063
"DDX41" 0.305466666666667 1.23734166666667 2.6610449799498 0.181368139236058 1 -4.19707101369031
"GLRX3" -0.721433333333333 1.07387453703704 -1.89381706264009 0.126350819846189 1 -4.20011492633868
"ITIH3" -0.370672222222222 1.09260674603175 -1.88424463884361 0.11505437967333 1 -4.2010553525156
"PRS4" 0.302466666666667 1.050675 2.63491075382633 0.183432931047066 1 -4.20153541526703
"SYAP1" 0.302 0.964769841269841 2.63084542976268 0.183757682369307 1 -4.20223777142962
"GCP2" 0.19505 1.06085238095238 2.04287818532214 0.161455743582654 1 -4.20232441557347
"TRI56" 0.300466666666667 1.242675 2.61748793641069 0.184831571540231 1 -4.20456066258678
"DUS3" 0.300333333333333 0.767214285714286 2.61632641524964 0.184925452589141 1 -4.20476375671708
"APMAP" -1.35041666666667 1.62571611111111 -1.91898281222912 0.142661982562761 1 -4.2052218722742
"STRN4" 0.2997 1.07308611111111 2.61080918973469 0.185372486004381 1 -4.20573087893399
"P20L1" -0.297533333333333 0.846008333333333 -2.59193447086774 0.186915652412579 1 -4.20906997545143
"AN34B" -0.296666666666667 0.716333333333333 -2.58438458332096 0.1875389812439 1 -4.21041895990834
"CX038" -0.175 1.04890634920635 -1.90992820109146 0.144007584305818 1 -4.21114054752834
"CFDP1" 0.0753277777777781 1.00336125992063 1.85318756801605 0.111034847633927 1 -4.21142043120512
"MCMBP" -0.1805 1.01380555555556 -2.02185848860493 0.164222142530025 1 -4.21290019357386
"NUCKS" -0.130266666666667 1.21805709325397 -1.8486619175824 0.111746284499033 1 -4.21615557469374
"GLRX1" -0.188633333333333 0.936558630952381 -2.04962370082609 0.16058071365 1 -4.2170054269999
"B2L13" -0.272533333333333 1.04281180555556 -2.04433168348659 0.161266676587037 1 -4.21925973941293
"WDR5" 0.385377777777778 0.96361741622575 1.86582165179786 0.10264458644217 1 -4.22014227253643
"PAWR" 0.289 0.862436507936508 2.51759711656098 0.193208718381664 1 -4.22269331021075
"AN34A" -0.288533333333333 0.697675 -2.51353179249733 0.193563106245815 1 -4.22346067215155
